"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test that the anomaly plugin is enabled and functional.","29982","test_anomaly_detection[small_deployment]","tests.integration.plugins","2026-03-15","passed","2026-03-15","","test_plugins","",""
"Validate the repository missing message format from OpenSearch.

    We use the message format to monitor the cluster status. We need to know if this
    message pattern changed between releases of OpenSearch.
    ","3845","test_repo_missing_message","tests.integration.ha","2026-03-15","passed","2026-03-15","","test_backups","",""
"Repeat the CA rotation test for the large deployment.","1111715","test_rollout_new_ca[large]","tests.integration.tls","2026-03-15","passed","2026-03-15","","test_ca_rotation","",""
"Test upgrade from upstream (n-2) to currently n-1 built version.","0","test_upgrade_to_n_minus_1","tests.integration.upgrades","2026-03-15","skipped","2026-03-15","","test_small_deployment_upgrades","",""
"","33620","test_config_changed_to_production","tests.integration.profiles","2026-03-15","passed","2026-03-15","","test_profiles","",""
"Check roles changes in all nodes.","542637","test_switch_back_to_auto_generated_roles","tests.integration.ha","2026-03-15","passed","2026-03-15","","test_roles_managements","",""
"Test that the async search plugin is enabled and functional.","5967","test_async_search_plugin[small_deployment]","tests.integration.plugins","2026-03-15","passed","2026-03-15","","test_plugins","",""
"Create a backup while writes are ongoing, then verify restore.","237257","test_create_backup_and_restore[azure-large]","tests.integration.ha","2026-03-15","passed","2026-03-15","","test_backups","",""
"Build and deploy the charm for large deployment tests.","1127963","test_deploy_starting_version","tests.integration.upgrades","2026-03-15","passed","2026-03-15","","test_manual_large_deployment_upgrades","",""
"Check cluster can self-heal, data indexed/read on process freeze on node with elected CM.","203304","test_freeze_db_process_node_with_elected_cm","tests.integration.ha","2026-03-15","passed","2026-03-15","","test_ha","",""
"Configure JWT authentication and access the cluster with the token.","181970","test_configure_and_use_jwt","tests.integration.relations","2026-03-15","passed","2026-03-15","","test_jwt_auth","",""
"Test the rotation and change of admin password.","34693","test_actions_rotate_system_user_password[kibanaserver]","tests.integration","2026-03-15","passed","2026-03-15","","test_charm","",""
"Check version reported in the databag is consistent with the version on the charm.","1218","test_version","tests.integration.relations","2026-03-15","passed","2026-03-15","","test_opensearch_provider","",""
